Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-17,Śniadanie,"Light mayonnaise","20x g",20,68.4,0.08,,,6.8,0.76,,,,,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2025-04-17,Obiad,"FRoSTA Warzywa na patelnię z koperkiem i pietruszką 400 g","1x opakowanie",400,204,5.6,,,3.2,0.4,,,,,33.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
2025-04-17,Obiad,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-17,Obiad,"Pierś z kurczaka","200x g",200,198,43,0,43,2.6,0.6,0.6,0.6,,,0,0,116,0,,24,12,0.2,0.4,,1.2,,0.8,0,0,0.6,24.8,,1,480,0,66,0,770,,110,10,0.8,
2025-04-17,Obiad,Banan,"110x g",110,106.7,1.1,1.1,0,0.33,0.132,0.033,0.066,0.022,0.044,23.98,21.12,0,1.87,0,24.2,8.8,0.044,0.11,0.407,0.396,,0,9.9,0,0.297,0.55,0.55,0.198,22,3.08,36.3,0.11,434.5,1.144,1.1,6.6,0.44,0
2025-04-17,Obiad,"Piatnica Jogurt Grecki 0% Naturalny","100x g",100,51,8.7,,8.7,0,0,0,0,,0,4.1,3.4,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,40,0,0,0.1
2025-04-17,Obiad,Białko,"20x g",20,78,15.8,,15.8,1.3,0.8,0.32,0.02,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,40,,,0.198
2025-04-17,Kolacja,"Schab wieprzowy bez kości","133x g",133,170.24,31.92,,30.457,4.655,2.261,,,,,0.532,0,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,0.133
2025-04-17,Kolacja,"Mąka pszenna","66x g",66,226.38,6.204,6.204,0,1.056,0.132,0.066,0.396,,,48.906,0.33,0,1.65,,36.96,0,0.132,0.066,,0.066,,0,0,0,0.264,0.396,,0.594,60.72,0,12.54,0.066,89.76,,1.32,12.54,0.858,
2025-04-22,Śniadanie,"Jajko L","3x sztuka",204,285.0084,25.5,,,19.8084,5.9976,,,,,1.224,0,,,,,,,,,,,,,,,,,,,,,,,,326.4,,,0.8976
